Short, Interm., Long
0.85195,1.2351,1.5413
1.3166,3.0282,1.3733
1.3236,2.1832,1.3365
1.7073,2.4596,1.4294
2.0988,0.73443,1.3974
1.7665,1.4296,1.2835
1.0231,1.4359,1.8664
1.8348,1.6723,1.9069
1.8399,2.1607,0.86369
0.74914,0.95063,1.6214
0.88477,1.6591,0.77446
0.99717,1.6331,0.8851
2.4395,1.6544,1.161
1.8779,1.5491,2.0065
0.56372,1.0748,1.7407
1.0686,1.2135,0.83802
0.44295,0.93461,1.5342
1.4759,1.201,2.0295
0.56241,0.24918,1.0623
1.0638,1.4221,1.1495
2.871,1.7482,1.9321
0.85485,0.41782,1.4644
1.6137,1.9252,1.4994
2.5926,1.2178,1.6565
1.8063,1.5512,2.5046
0.25421,1.4413,1.82
1.8829,1.392,1.5657
0.33267,1.4505,1.1511
2.6307,1.2059,2.3222
1.4108,1.2462,2.6049
1.2609,0.9319,1.4534
1.4605,1.3151,0.59477
1.9727,1.6524,0.36691
