Short, Interm., Long
1.0198,0.70263,0.79455
0.75765,1.5424,0.81805
0.9812,1.2831,0.92804
0.20591,0.76328,0.4934
0.75287,1.1893,1.0613
0.5755,1.443,0.55686
0.74125,1.7726,0.05265
0.35829,0.93359,1.078
0.21233,0.16275,0.4223
1.1642,1.3152,0.88093
1.0405,2.2334,0.93406
0.60667,1.5687,1.2709
1.3659,0.58891,1.2031
1.2695,0.90463,0.63593
0.33094,0.25019,0.30849
0.81865,1.2251,0.88406
0.78448,1.995,1.1508
0.78665,0.96523,0.98576
-0.43069,1.0584,0.95509
0.52599,1.1942,0.72333
1.0497,1.2535,0.49761
1.5939,0.52492,0.98833
1.1864,0.81774,0.37855
1.6424,1.5987,0.28504
0.92938,1.1346,0.82729
0.57319,0.75839,0.83086
1.1622,1.4367,1.0435
0.4651,1.6417,1.1528
0.8729,0.63089,0.34539
1.2915,0.77968,0.47266
1.378,0.98941,1.1134
0.11421,0.7771,0.76005
1.0989,1.4082,0.95402
1.2488,0.84414,1.3464
1.4631,0.40232,1.1439
0.79471,1.3588,0.87045
1.1341,0.47645,0.38002
1.2055,1.1756,1.2471
0.41323,0.69736,0.60255
0.95663,1.6359,0.28562
1.5426,0.82589,0.92863
1.0386,1.1783,1.3588
0.52656,1.9532,1.2185
0.58435,1.31,0.37006
0.71314,1.1156,1.3278
1.3124,1.5724,1.0091
0.75119,0.60156,0.80278
1.0443,1.211,2.0918
0.53374,0.54851,1.1657
0.82851,0.14508,0.72802
1.3263,0.77757,0.73787
1.2143,1.5318,1.5148
1.4785,1.0241,1.1116
0.4363,0.59887,1.2443
0.45362,1.3977,0.54575
0.31863,0.67903,0.73463
1.0652,0.97653,1.3794
0.9212,0.66642,0.75842
0.50646,0.61523,1.0377
0.36173,1.1183,1.0976
1.7466,0.69304,0.69941
1.5621,1.2918,1.2526
1.3256,0.33334,0.64796
1.9036,2.3437,0.56969
1.66,0.68253,0.54741
0.49594,0.5153,0.69153
0.68054,1.1733,0.42342
0.45957,0.46571,0.24961
0.67059,1.4306,1.6694
0.86549,1.9091,0.86846
0.98748,0.99278,0.71602
0.41922,0.92632,0.95612
1.7214,1.0396,0.96534
1.1143,0.58704,0.73587
0.68346,0.938,0.69932
0.71113,1.1108,1.2695
1.2804,0.49133,0.64758
0.52581,0.49464,1.4854
0.4699,0.65422,0.72477
1.1527,0.27906,0.92147
0.97782,0.84283,0.51019
0.18917,2.2148,0.84956
0.65463,0.68677,0.69388
1.0359,0.7589,1.6572
0.0033707,0.63124,0.75283
1.2208,1.2324,1.2684
0.70568,1.1132,1.4267
