Short, Interm., Long
0.89246,0.75858,0.90102
0.87652,0.89538,0.92882
0.75678,1.0357,0.86
0.97996,0.93234,0.86476
0.78808,0.90595,0.96089
0.71913,1.4142,0.74355
0.71922,0.79321,0.88719
0.94613,0.83086,1.0638
0.7367,0.66535,1.136
1.0038,0.92954,0.91
0.91394,1.0338,0.93677
0.9412,0.83674,0.857
0.84142,0.88852,0.95039
0.91241,0.79372,0.93275
0.92187,0.86305,0.81853
1.0557,0.74391,0.9708
0.79218,0.91945,0.79073
1.2207,0.91239,0.82295
0.58593,0.6942,0.91018
0,0.95273,0.87643
0.81455,0.85482,0.87181
0.92872,0.82953,0.97744
0.56881,0.76921,0.85735
0.85947,0.70813,0.91659
0.70932,0.71273,0.91655
0.98169,0.99143,0.70176
0.74977,0.83386,0.78993
0.71324,1.0907,0.83869
0.73726,0.84674,0.97994
0.91717,0.67517,0.89167
0.68956,0.99653,0.84
0.67952,0.97261,0.81206
0.88427,0.78346,0.93938
0.72051,0.90288,0.94201
0.79768,0.92306,0.97854
0.81579,0.87161,0.75633
1.0444,1.0095,0.74856
0.80059,0.72296,0.914
0.91866,0.86851,1.0283
1.0266,0.91093,0.95048
0.74233,0.87671,0.88879
0.85575,1.2062,0.87629
0.82644,1.3145,0.82717
0.94713,1.0503,0.90323
1.1357,0.78254,0.85087
1.0367,0.8689,0.89568
0.79615,0.85588,0.93854
0.91076,0.93368,1.028
0.93682,1.0044,0.79774
0.65054,0.73526,0.91582
0.84242,0.92209,0.71543
0.82713,0.92457,0.80585
0.98746,0.9457,0.91603
0.9423,0.91934,0.93473
0.66953,1.3776,0.89115
0.82525,0.84704,0.74441
0.70233,0.72456,0.96076
0.88375,0.86391,0.97645
0.68912,0.4653,0.81044
0.75434,0.84048,0.83144
1.0772,0.93217,0.92285
0.73279,0.58394,0.94034
1.0031,0.92639,0.90815
1.0228,0.82595,0.97944
0.89891,0.91018,0.9737
0.60179,0.92657,1.0505
0.89818,0.90356,0.95336
0.48455,0.8963,0.87573
1.1736,0.83204,1.064
0.86308,0.91033,1.0928
0.83984,0.80756,0.88721
0.84714,0.85632,0.66818
1.2882,0.91711,0.61842
